episode,target,ai_starts,ai_payout,score,both_steal,ai_action,target_action,policy_loss,value_loss,entropy,loss
46,always_steal,1,0.0,0.0,0,SPLIT,STEAL,0.0034859906882047653,0.5494707459583879,0.2048295116983354,0.27617306960746646
47,deceptive_threaten,0,0.0,0.0,1,STEAL,STEAL,-0.014301769435405731,0.05182191672429326,0.20374867576174438,0.009571699425578117
48,honest,1,100.0,1.0,0,STEAL,SPLIT,-0.0027415193617343903,0.7126005608588457,0.19800306693650782,0.35157873563002795
49,tit_for_tat,0,50.0,0.5,0,SPLIT,SPLIT,-0.037972478196024895,0.014918216693843078,0.20245780306868255,-0.03253794647753239
50,always_split,1,100.0,1.0,0,STEAL,SPLIT,0.0010593421757221222,0.10068643884733319,0.1995732467621565,0.04940684512257576
51,always_steal,0,0.0,0.0,1,STEAL,STEAL,-0.033103298395872116,0.5901193683966994,0.20044353837147355,0.25995194911956787
52,deceptive_threaten,1,0.0,0.0,1,STEAL,STEAL,-0.041675012558698654,0.1487644608696428,0.19165995228104293,0.030790608376264572
53,honest,0,50.0,0.5,0,SPLIT,SPLIT,0.0033696983009576797,0.17915098508819938,0.1775318488944322,0.09116985648870468
54,tit_for_tat,1,50.0,0.5,0,SPLIT,SPLIT,-0.02029568701982498,0.01904041550369584,0.18893174268305302,-0.012664804235100746
55,always_split,0,100.0,1.0,0,STEAL,SPLIT,0.006379324942827225,0.07625337970966939,0.19764372683130205,0.04252957925200462
56,always_steal,1,0.0,0.0,1,STEAL,STEAL,-0.03872195445001125,0.7502943426370621,0.18939274828881025,0.33453129092231393
57,deceptive_threaten,0,0.0,0.0,0,SPLIT,STEAL,-0.0006823856383562088,0.22700144836676373,0.18209983431734145,0.11099734529852867
58,honest,1,100.0,1.0,0,STEAL,SPLIT,-0.0005865748971700668,0.6533715687692165,0.1850304496474564,0.32424890098627657
59,tit_for_tat,0,50.0,0.5,0,SPLIT,SPLIT,-0.0012274440377950668,0.014667804308373888,0.18137462460435927,0.004292713478207588
60,always_split,1,100.0,1.0,0,STEAL,SPLIT,-0.0010560490190982819,0.07109287730054348,0.18593579973094165,0.03263102285563946
61,always_steal,0,0.0,0.0,0,SPLIT,STEAL,0.008325714617967606,0.7052927147597075,0.17879820452071726,0.35918409191071987
62,deceptive_threaten,1,0.0,0.0,1,STEAL,STEAL,-0.012140495702624321,0.22443579271202907,0.17743521626107395,0.09830304980278015
63,honest,0,100.0,1.0,0,STEAL,SPLIT,-0.025803162716329098,0.6169657539576292,0.16317262465599924,0.2810479896143079
64,tit_for_tat,1,100.0,1.0,0,STEAL,SPLIT,-0.03771585039794445,0.1831290436675772,0.14033521385863423,0.05244531389325857
65,always_split,0,100.0,1.0,0,STEAL,SPLIT,-0.04240482859313488,0.015934675524476916,0.1174353314563632,-0.035611847415566444
66,always_steal,1,0.0,0.0,0,SPLIT,STEAL,0.0008671730756759644,0.6189656518399715,0.10355873894877732,0.30931442917790264
67,deceptive_threaten,0,0.0,0.0,0,SPLIT,STEAL,-0.0008646640926599503,0.07025036193226697,0.10438936669379473,0.03321664407849312
68,honest,1,50.0,0.5,0,SPLIT,SPLIT,-0.007054166868329048,0.19330602372065187,0.11571011762134731,0.08844174072146416
69,tit_for_tat,0,50.0,0.5,0,SPLIT,SPLIT,-0.017451835796236992,0.015218101473692514,0.14529220294207335,-0.011295702308416367
70,always_split,1,50.0,0.5,0,SPLIT,SPLIT,-0.030383966863155365,0.0071828682093837415,0.17761138977948576,-0.028568638488650322
71,always_steal,0,0.0,0.0,1,STEAL,STEAL,0.0185436699539423,0.12979348605222185,0.19172335392795503,0.08152317628264427
72,deceptive_threaten,1,0.0,0.0,0,SPLIT,STEAL,-0.0037277396768331528,0.009714815312690916,0.18973886454477906,-0.0007677208632230759
73,honest,0,100.0,1.0,0,STEAL,SPLIT,-0.048580908216536045,0.6208075881004333,0.18971534632146358,0.25992571003735065
74,tit_for_tat,1,100.0,1.0,0,STEAL,SPLIT,0.003734804689884186,0.10355837100723875,0.1817390350624919,0.053696613758802414
75,always_split,0,100.0,1.0,0,STEAL,SPLIT,-0.03040509857237339,0.00996923265120131,0.18635920493397862,-0.02728407271206379
76,always_steal,1,0.0,0.0,0,SPLIT,STEAL,0.027425682172179222,0.6215830035507679,0.18472982954699546,0.3363698865287006
77,deceptive_threaten,0,0.0,0.0,0,SPLIT,STEAL,-0.006123721599578857,0.11158840733696707,0.18486301705706865,0.047821858897805214
78,honest,1,50.0,0.5,0,SPLIT,SPLIT,-0.03959537111222744,0.15690168412402272,0.18700447760056704,0.03698543272912502
79,tit_for_tat,0,100.0,1.0,0,STEAL,SPLIT,0.017904460430145264,0.21470194309949875,0.17676989967003465,0.12348772771656513
80,always_split,1,100.0,1.0,0,STEAL,SPLIT,-0.012327319011092186,0.012237561961228494,0.17897801019717008,-0.007998323068022728
81,always_steal,0,0.0,0.0,1,STEAL,STEAL,-0.04094731993973255,0.6938415309414268,0.18733751471154392,0.30410006968304515
82,deceptive_threaten,1,0.0,0.0,1,STEAL,STEAL,-0.046215711161494255,0.12007608362182509,0.1736205625347793,0.012086153030395508
83,honest,0,50.0,0.5,0,SPLIT,SPLIT,-2.454034984111786e-05,0.21465632785111666,0.15907156746834517,0.10571291856467724
84,tit_for_tat,1,50.0,0.5,0,SPLIT,SPLIT,-0.024817677214741707,0.026761755774714402,0.17258374381344765,-0.013162657618522644
85,always_split,0,100.0,1.0,0,STEAL,SPLIT,0.020512457937002182,0.06889934685023036,0.18504397303331643,0.05311169661581516
86,always_steal,1,0.0,0.0,1,STEAL,STEAL,-0.029768969863653183,0.7016457077115774,0.17960894131101668,0.3192577874287963
87,deceptive_threaten,0,0.0,0.0,0,SPLIT,STEAL,0.011993039399385452,0.2477499161614105,0.16780475829727948,0.13418995402753353
88,honest,1,50.0,0.5,0,SPLIT,SPLIT,-0.013486402109265327,0.08029175421688706,0.17176451534032822,0.0249418243765831
89,tit_for_tat,0,50.0,0.5,0,SPLIT,SPLIT,-0.03632484935224056,0.011517950543426636,0.18584568484220654,-0.0324243288487196
90,always_split,1,50.0,0.5,0,SPLIT,SPLIT,-0.036470478400588036,0.006414369421747779,0.18469327001366764,-0.035110220313072205
91,always_steal,0,0.0,0.0,1,STEAL,STEAL,0.008566256612539291,0.1338297409529332,0.1746472476515919,0.07373465411365032
92,deceptive_threaten,1,0.0,0.0,0,SPLIT,STEAL,-0.01102382317185402,0.010047348390799016,0.17545589013025165,-0.007754724472761154
93,honest,0,100.0,1.0,0,STEAL,SPLIT,-0.02282770536839962,0.6224439479410648,0.15936938021332026,0.28680057264864445
94,tit_for_tat,1,100.0,1.0,0,STEAL,SPLIT,0.006305985152721405,0.103633397113299,0.14175168855581433,0.056705180555582047
95,always_split,0,100.0,1.0,0,STEAL,SPLIT,-0.011115113273262978,0.0075907260798544485,0.14757964352611452,-0.008795537054538727
96,always_steal,1,0.0,0.0,0,SPLIT,STEAL,0.03287927433848381,0.6516935005784035,0.1648773681372404,0.35707724350504577
97,deceptive_threaten,0,0.0,0.0,1,STEAL,STEAL,-0.013137465342879295,0.1445235473656794,0.17111723986454308,0.057413144037127495
98,honest,1,100.0,1.0,0,STEAL,SPLIT,-0.02118450216948986,0.7610003761947155,0.18145506619475782,0.35750112751702545
99,tit_for_tat,0,50.0,0.5,0,SPLIT,SPLIT,-0.0026406869292259216,0.026550838016191847,0.18403112492524087,0.008794426918029785
100,always_split,1,100.0,1.0,0,STEAL,SPLIT,-0.0007343795150518417,0.07461398810846731,0.1818023309460841,0.034754592925310135
101,always_steal,0,0.0,0.0,0,SPLIT,STEAL,0.00211961567401886,0.726792274042964,0.18352178891655058,0.3636805200949311
102,deceptive_threaten,1,0.0,0.0,0,SPLIT,STEAL,-0.02287221886217594,0.31700120377354324,0.18092955357860774,0.1338190846145153
103,honest,0,50.0,0.5,0,SPLIT,SPLIT,-0.04000725783407688,0.032600247955997474,0.16683946584817022,-0.02537553384900093
104,tit_for_tat,1,50.0,0.5,0,SPLIT,SPLIT,-0.044079916551709175,0.007217884416036213,0.1432531790342182,-0.041903506964445114
105,always_split,0,50.0,0.5,0,SPLIT,SPLIT,-0.03891138546168804,0.0039941741552524945,0.12013956741429865,-0.03811568394303322
106,always_steal,1,0.0,0.0,1,STEAL,STEAL,0.0020246803760528564,0.13008757495845202,0.10362780268769711,0.0660321805626154
107,deceptive_threaten,0,0.0,0.0,1,STEAL,STEAL,-0.006379222497344017,0.008944952301135345,0.10909122950397432,-0.002997675910592079
108,honest,1,100.0,1.0,0,STEAL,SPLIT,0.00792284682393074,0.6236033458262682,0.12823954928899184,0.31844211323186755
109,tit_for_tat,0,100.0,1.0,0,STEAL,SPLIT,-0.0019225962460041046,0.12841239204863086,0.13073709735181183,0.06097622402012348
110,always_split,1,100.0,1.0,0,STEAL,SPLIT,-0.014053961262106895,0.009177462570733042,0.1465636020875536,-0.010930856689810753
111,always_steal,0,0.0,0.0,1,STEAL,STEAL,-0.027337057515978813,0.67844267655164,0.17028632818255574,0.3101814172696322
112,deceptive_threaten,1,0.0,0.0,0,SPLIT,STEAL,0.021038835868239403,0.14219921808398794,0.18054235895397142,0.09033303335309029
113,honest,0,50.0,0.5,0,SPLIT,SPLIT,-0.02875749208033085,0.13456085813231766,0.17794819397386163,0.03674343787133694
114,tit_for_tat,1,100.0,1.0,0,STEAL,SPLIT,0.015173632651567459,0.23137204837985337,0.1665241119917482,0.12919440306723118
115,always_split,0,100.0,1.0,0,STEAL,SPLIT,-0.006473196670413017,0.015088274458378237,0.1661173237953335,-0.0005902312695980072
116,always_steal,1,0.0,0.0,0,SPLIT,STEAL,0.02438046783208847,0.80922931432724,0.17620189144508913,0.4272331143147312
117,deceptive_threaten,0,0.0,0.0,0,SPLIT,STEAL,-0.007483340799808502,0.2761186759453267,0.1753736716345884,0.12882225401699543
118,honest,1,100.0,1.0,0,STEAL,SPLIT,0.005791604518890381,0.435714827850461,0.17086044821189716,0.22194041591137648
119,tit_for_tat,0,50.0,0.5,0,SPLIT,SPLIT,-0.01982591301202774,0.007396588340185417,0.16587168216938153,-0.01778634451329708
120,always_split,1,100.0,1.0,0,STEAL,SPLIT,0.00441955029964447,0.09005678712856025,0.156278787588235,0.047885168343782425
121,always_steal,0,0.0,0.0,1,STEAL,STEAL,-0.011101394891738892,0.5951952897012234,0.1615380704170093,0.2848808541893959
122,deceptive_threaten,1,0.0,0.0,1,STEAL,STEAL,-0.029998699203133583,0.19454970152582973,0.17633383837528527,0.06551279872655869
123,honest,0,100.0,1.0,0,STEAL,SPLIT,-0.030134420841932297,0.6434700936079025,0.1816691081621684,0.2897839475335786
124,tit_for_tat,1,50.0,0.5,0,SPLIT,SPLIT,-0.0006160251796245575,0.017892092551392125,0.17935221106745303,0.006536481902003288
125,always_split,0,50.0,0.5,0,SPLIT,SPLIT,-0.02267349511384964,0.008476747425902431,0.18237670481903479,-0.02025887370109558
126,always_steal,1,0.0,0.0,1,STEAL,STEAL,0.004920730367302895,0.15496345239807852,0.18067090772092342,0.08059575036168098
127,deceptive_threaten,0,0.0,0.0,0,SPLIT,STEAL,0.002406267449259758,0.013465675563566037,0.1812573933857493,0.007326534017920494
128,honest,1,50.0,0.5,0,SPLIT,SPLIT,-0.03046976402401924,0.15561040653847158,0.17623262770939618,0.045573094859719276
129,tit_for_tat,0,100.0,1.0,0,STEAL,SPLIT,0.010205945000052452,0.23555954452604055,0.16130730509757996,0.1263726509641856
130,always_split,1,100.0,1.0,0,STEAL,SPLIT,-0.006180969998240471,0.015499081697328165,0.16324839426670223,-6.389990448951721e-05
131,always_steal,0,0.0,0.0,1,STEAL,STEAL,-0.023535212501883507,0.7972497418522835,0.17466018081177026,0.37334306703996845
132,deceptive_threaten,1,0.0,0.0,1,STEAL,STEAL,-0.036872221156954765,0.22293860471108928,0.18052974151214585,0.07279178779572248
133,honest,0,50.0,0.5,0,SPLIT,SPLIT,0.003455689176917076,0.13425897806882858,0.1773860167595558,0.06881130859255791
134,tit_for_tat,1,50.0,0.5,0,SPLIT,SPLIT,-0.028736833482980728,0.019249921239861578,0.18082897056592628,-0.02092016115784645
135,always_split,0,100.0,1.0,0,STEAL,SPLIT,0.012777172029018402,0.07317355877603404,0.18002917332341895,0.04756366275250912
136,always_steal,1,0.0,0.0,0,SPLIT,STEAL,0.0022057443857192993,0.6927554123103619,0.18033811048371717,0.3467800533398986
137,deceptive_threaten,0,0.0,0.0,0,SPLIT,STEAL,-0.015987873077392578,0.29308490885887295,0.17790921224514022,0.1287754951044917
138,honest,1,100.0,1.0,0,STEAL,SPLIT,0.006775997579097748,0.39315676130354404,0.17305538390064612,0.20162381790578365
139,tit_for_tat,0,100.0,1.0,0,STEAL,SPLIT,-0.0060388799756765366,0.13631861074827611,0.17434396350290626,0.06037699431180954
140,always_split,1,50.0,0.5,0,SPLIT,SPLIT,0.002633204683661461,0.11739755584858358,0.17802823142847046,0.059551699087023735
141,always_steal,0,0.0,0.0,1,STEAL,STEAL,-0.0032409466803073883,0.30859924433752894,0.1776165512856096,0.14928248897194862
142,deceptive_threaten,1,0.0,0.0,1,STEAL,STEAL,-0.026200400665402412,0.033926734332453634,0.18095813842955977,-0.011046616360545158
143,honest,0,50.0,0.5,0,SPLIT,SPLIT,0.0035054348409175873,0.19803506508469582,0.18014575232518837,0.10072150826454163
144,tit_for_tat,1,50.0,0.5,0,SPLIT,SPLIT,-0.021434783935546875,0.023483409904883956,0.18113416590495035,-0.011504411697387695
145,always_split,0,100.0,1.0,0,STEAL,SPLIT,0.0045739226043224335,0.08207310484431218,0.17953363218111917,0.043815119192004204
146,always_steal,1,0.0,0.0,1,STEAL,STEAL,-0.015955282375216484,0.7040040530264378,0.18057746783597395,0.3342409748584032
147,deceptive_threaten,0,0.0,0.0,0,SPLIT,STEAL,0.0018929839134216309,0.30458363285288215,0.18159716547233984,0.15236881654709578
148,honest,1,50.0,0.5,0,SPLIT,SPLIT,-0.02135404199361801,0.03602645604405552,0.1811807068879716,-0.005152618512511253
149,tit_for_tat,0,100.0,1.0,0,STEAL,SPLIT,0.00862080231308937,0.17298295674845576,0.17752507701516151,0.09333704691380262
150,always_split,1,100.0,1.0,0,STEAL,SPLIT,-0.009766088798642159,0.012825961028340771,0.17912162386346608,-0.0051443129777908325
151,always_steal,0,0.0,0.0,0,SPLIT,STEAL,0.014896593987941742,0.8018259666860104,0.18213276023743674,0.41398824634961784
152,deceptive_threaten,1,0.0,0.0,0,SPLIT,STEAL,-0.006299931555986404,0.3110903366468847,0.18103488173801452,0.14743490144610405
153,honest,0,100.0,1.0,0,STEAL,SPLIT,0.00513736717402935,0.3813198246061802,0.1793927191174589,0.1940033594146371
154,tit_for_tat,1,50.0,0.5,0,SPLIT,SPLIT,-0.011966628953814507,0.007496733266862066,0.1788533502840437,-0.010006790980696678
155,always_split,0,100.0,1.0,0,STEAL,SPLIT,0.0062193553894758224,0.1005030341912061,0.17532667255727574,0.05471762455999851
156,always_steal,1,0.0,0.0,0,SPLIT,STEAL,0.0024993978440761566,0.559669004753232,0.175827938655857,0.2805756228044629
157,deceptive_threaten,0,0.0,0.0,0,SPLIT,STEAL,-0.011087894439697266,0.24367354600690305,0.1734457139391452,0.10901441797614098
158,honest,1,100.0,1.0,0,STEAL,SPLIT,0.004705311730504036,0.4225403182208538,0.16756789159262553,0.2142997896298766
159,tit_for_tat,0,100.0,1.0,0,STEAL,SPLIT,-0.0014488566666841507,0.1632234655553475,0.16859592485707253,0.07847691234201193
160,always_split,1,50.0,0.5,0,SPLIT,SPLIT,0.004131892696022987,0.09417939838021994,0.17111821053549647,0.04951041750609875
161,always_steal,0,0.0,0.0,1,STEAL,STEAL,-0.006154332309961319,0.2812058008275926,0.17121999146183953,0.13273636810481548
162,deceptive_threaten,1,0.0,0.0,1,STEAL,STEAL,-0.025622420012950897,0.029628387656885025,0.1784226486342959,-0.012592457234859467
163,honest,0,100.0,1.0,0,STEAL,SPLIT,0.0068952105939388275,0.7711962051689625,0.18033735471544787,0.39068993320688605
164,tit_for_tat,1,50.0,0.5,0,SPLIT,SPLIT,-0.020403584465384483,0.019579461356443062,0.1792827388853766,-0.012406682595610619
165,always_split,0,50.0,0.5,0,SPLIT,SPLIT,-0.032226068899035454,0.008606839780895825,0.1729785912320949,-0.029652414843440056
166,always_steal,1,0.0,0.0,1,STEAL,STEAL,0.0094559695571661,0.15058300411328673,0.16278847766807303,0.083119573071599
167,deceptive_threaten,0,0.0,0.0,1,STEAL,STEAL,-0.008132489398121834,0.012445708472114347,0.16670604929095134,-0.0035767070949077606
168,honest,1,100.0,1.0,0,STEAL,SPLIT,0.007638923823833466,0.6949540674686432,0.17339044308755547,0.35338205797597766
169,tit_for_tat,0,50.0,0.5,0,SPLIT,SPLIT,-0.012839043512940407,0.011759707092473093,0.17133865057257935,-0.008672570809721947
170,always_split,1,100.0,1.0,0,STEAL,SPLIT,0.0033465195447206497,0.07782130521081854,0.16571402951376513,0.04060002230107784
171,always_steal,0,0.0,0.0,1,STEAL,STEAL,-0.009847985580563545,0.6876013185828924,0.170582732767798,0.33224684465676546
172,deceptive_threaten,1,0.0,0.0,0,SPLIT,STEAL,-0.002393389120697975,0.2828350530471653,0.17362715833587572,0.1372878383845091
173,honest,0,50.0,0.5,0,SPLIT,SPLIT,-0.022409183904528618,0.03873028716770932,0.16744742658920586,-0.004718504846096039
174,tit_for_tat,1,50.0,0.5,0,SPLIT,SPLIT,-0.037907129153609276,0.00882677979257096,0.15164148568874225,-0.035010164603590965
175,always_split,0,100.0,1.0,0,STEAL,SPLIT,0.00408601202070713,0.09585635556140915,0.1388514982536435,0.050625674426555634
176,always_steal,1,0.0,0.0,1,STEAL,STEAL,-0.006138717755675316,0.6058444678783417,0.14255489339120686,0.2953579491004348
177,deceptive_threaten,0,0.0,0.0,1,STEAL,STEAL,-0.009223716333508492,0.20479139330564067,0.15337344439467415,0.0916382260620594
178,honest,1,50.0,0.5,0,SPLIT,SPLIT,0.001826755702495575,0.08901215577498078,0.16054416849510744,0.04472740925848484
179,tit_for_tat,0,50.0,0.5,0,SPLIT,SPLIT,-0.02300952933728695,0.015770314064482704,0.15416255241143517,-0.016666000708937645
180,always_split,1,100.0,1.0,0,STEAL,SPLIT,0.004091888666152954,0.07482732682831283,0.14150696725118905,0.04009047523140907
181,always_steal,0,0.0,0.0,1,STEAL,STEAL,-0.0055837444961071014,0.7562149483710527,0.1460849141876679,0.37106286943890154
182,deceptive_threaten,1,0.0,0.0,0,SPLIT,STEAL,0.0006850827485322952,0.2841935553587973,0.15212101195356809,0.14126064721494913
183,honest,0,50.0,0.5,0,SPLIT,SPLIT,-0.026684628799557686,0.04163698965567164,0.1431605801335536,-0.007297733798623085
184,tit_for_tat,1,100.0,1.0,0,STEAL,SPLIT,0.004577545449137688,0.17365399841219187,0.1301356975454837,0.09010318946093321
185,always_split,0,50.0,0.5,0,SPLIT,SPLIT,-0.008289255201816559,0.09425428160466254,0.12653846788452938,0.03757249563932419
186,always_steal,1,0.0,0.0,1,STEAL,STEAL,0.0015666577965021133,0.27185347815975547,0.11879408732056618,0.13630546815693378
187,deceptive_threaten,0,0.0,0.0,1,STEAL,STEAL,-0.004665195941925049,0.023343180675965414,0.12294126601773314,0.005776982754468918
188,honest,1,100.0,1.0,0,STEAL,SPLIT,0.006401553750038147,0.7487099543213844,0.1352631407789886,0.3794039044296369
189,tit_for_tat,0,100.0,1.0,0,STEAL,SPLIT,-0.0016294870874844491,0.2491231590975076,0.13995722608524375,0.12153253681026399
190,always_split,1,100.0,1.0,0,STEAL,SPLIT,-0.012451503425836563,0.014968768478865968,0.15171052573714405,-0.006484219804406166
191,always_steal,0,0.0,0.0,1,STEAL,STEAL,-0.013254504650831223,0.7237677313387394,0.16578485252102837,0.34697150404099375
192,deceptive_threaten,1,0.0,0.0,1,STEAL,STEAL,-0.017655134201049805,0.16133744165563257,0.17533234175061807,0.061260269954800606
193,honest,0,100.0,1.0,0,STEAL,SPLIT,-0.02068936452269554,0.6735634915530682,0.17939050536369905,0.3142984961741604
194,tit_for_tat,1,50.0,0.5,0,SPLIT,SPLIT,0.0012050885707139969,0.016723269895010162,0.17863821575883776,0.007780333980917931
195,always_split,0,50.0,0.5,0,SPLIT,SPLIT,-0.02200557105243206,0.006630785122979432,0.1807103416067548,-0.020497284829616547
196,always_steal,1,0.0,0.0,0,SPLIT,STEAL,-0.03890533372759819,0.1408562657306902,0.17569433263270184,0.029765857383608818
197,deceptive_threaten,0,0.0,0.0,0,SPLIT,STEAL,-0.04267045110464096,0.013653997184007949,0.15535651496611536,-0.037397028878331184
198,honest,1,100.0,1.0,0,STEAL,SPLIT,0.0021928809583187103,0.6485620904713869,0.1329837054363452,0.32514410093426704
199,tit_for_tat,0,100.0,1.0,0,STEAL,SPLIT,0.001680290326476097,0.11421828954917146,0.12420993705745786,0.05754735320806503
200,always_split,1,50.0,0.5,0,SPLIT,SPLIT,0.0035818666219711304,0.2080448674969375,0.1240963414311409,0.10636334866285324
201,always_steal,0,0.0,0.0,1,STEAL,STEAL,-0.008832335472106934,0.3223858051933348,0.13087838879437186,0.15105178114026785
202,deceptive_threaten,1,0.0,0.0,0,SPLIT,STEAL,0.02298695035278797,0.023172507069830317,0.1512738766032271,0.03306045942008495
